№,Секунда ,Микросекунда
166,2024-10-25 21:58:21.735131,735134
167,2024-10-25 21:58:21.745248,745251
168,2024-10-25 21:58:21.755357,755359
169,2024-10-25 21:58:21.765463,765465
170,2024-10-25 21:58:21.775572,775574
171,2024-10-25 21:58:21.785684,785686
172,2024-10-25 21:58:21.795792,795794
173,2024-10-25 21:58:21.805915,805918
174,2024-10-25 21:58:21.816025,816027
175,2024-10-25 21:58:21.826132,826134
176,2024-10-25 21:58:21.836239,836241
177,2024-10-25 21:58:21.846352,846354
178,2024-10-25 21:58:21.856466,856468
179,2024-10-25 21:58:21.866573,866576
180,2024-10-25 21:58:21.876673,876675
181,2024-10-25 21:58:21.886778,886781
182,2024-10-25 21:58:21.896891,896893
183,2024-10-25 21:58:21.907004,907007
184,2024-10-25 21:58:21.917119,917122
185,2024-10-25 21:58:21.927227,927229
186,2024-10-25 21:58:21.937339,937342
187,2024-10-25 21:58:21.947453,947456
188,2024-10-25 21:58:21.957562,957564
189,2024-10-25 21:58:21.967668,967671
190,2024-10-25 21:58:21.977776,977778
191,2024-10-25 21:58:21.987883,987885
192,2024-10-25 21:58:21.997990,997992
193,2024-10-25 21:58:22.008098,8100
194,2024-10-25 21:58:22.018216,18219
195,2024-10-25 21:58:22.028326,28329
196,2024-10-25 21:58:22.038434,38436
197,2024-10-25 21:58:22.048540,48542
198,2024-10-25 21:58:22.058647,58650
199,2024-10-25 21:58:22.068746,68747
200,2024-10-25 21:58:22.078824,78826
201,2024-10-25 21:58:22.088900,88901
202,2024-10-25 21:58:22.098971,98973
203,2024-10-25 21:58:22.109042,109042
204,2024-10-25 21:58:22.119099,119100
205,2024-10-25 21:58:22.129175,129176
206,2024-10-25 21:58:22.139274,139276
207,2024-10-25 21:58:22.149381,149383
208,2024-10-25 21:58:22.159487,159489
209,2024-10-25 21:58:22.169593,169595
210,2024-10-25 21:58:22.179700,179703
211,2024-10-25 21:58:22.189808,189810
212,2024-10-25 21:58:22.199915,199917
213,2024-10-25 21:58:22.210020,210022
214,2024-10-25 21:58:22.220225,220227
215,2024-10-25 21:58:22.230332,230334
216,2024-10-25 21:58:22.240441,240443
217,2024-10-25 21:58:22.250549,250551
218,2024-10-25 21:58:22.260661,260664
219,2024-10-25 21:58:22.270776,270778
220,2024-10-25 21:58:22.280871,280873
221,2024-10-25 21:58:22.290960,290962
222,2024-10-25 21:58:22.301042,301044
223,2024-10-25 21:58:22.311107,311109
224,2024-10-25 21:58:22.321196,321199
225,2024-10-25 21:58:22.331282,331284
226,2024-10-25 21:58:22.341362,341363
227,2024-10-25 21:58:22.351434,351435
228,2024-10-25 21:58:22.361508,361510
229,2024-10-25 21:58:22.371585,371586
230,2024-10-25 21:58:22.381658,381659
231,2024-10-25 21:58:22.391728,391729
232,2024-10-25 21:58:22.401802,401804
233,2024-10-25 21:58:22.411881,411883
234,2024-10-25 21:58:22.421963,421965
235,2024-10-25 21:58:22.432035,432036
236,2024-10-25 21:58:22.442114,442116
237,2024-10-25 21:58:22.452193,452195
238,2024-10-25 21:58:22.462273,462275
239,2024-10-25 21:58:22.472349,472350
240,2024-10-25 21:58:22.482422,482423
241,2024-10-25 21:58:22.492496,492497
242,2024-10-25 21:58:22.502567,502568
243,2024-10-25 21:58:22.512639,512640
244,2024-10-25 21:58:22.522710,522710
245,2024-10-25 21:58:22.532776,532777
246,2024-10-25 21:58:22.542848,542849
247,2024-10-25 21:58:22.552945,552947
248,2024-10-25 21:58:22.563027,563029
249,2024-10-25 21:58:22.573102,573103
250,2024-10-25 21:58:22.583204,583206
251,2024-10-25 21:58:22.593313,593315
252,2024-10-25 21:58:22.603421,603423
253,2024-10-25 21:58:22.613534,613536
254,2024-10-25 21:58:22.623644,623646
255,2024-10-25 21:58:22.633756,633759
256,2024-10-25 21:58:22.643866,643868
257,2024-10-25 21:58:22.653979,653981
258,2024-10-25 21:58:22.664086,664089
259,2024-10-25 21:58:22.674171,674174
260,2024-10-25 21:58:22.684286,684288
261,2024-10-25 21:58:22.694400,694403
262,2024-10-25 21:58:22.704502,704504
263,2024-10-25 21:58:22.714612,714615
264,2024-10-25 21:58:22.724725,724728
265,2024-10-25 21:58:22.734851,734854
266,2024-10-25 21:58:22.744952,744954
267,2024-10-25 21:58:22.755050,755052
268,2024-10-25 21:58:22.765152,765154
269,2024-10-25 21:58:22.775265,775267
270,2024-10-25 21:58:22.785375,785377
271,2024-10-25 21:58:22.795483,795485
272,2024-10-25 21:58:22.805591,805593
273,2024-10-25 21:58:22.815698,815700
274,2024-10-25 21:58:22.825806,825809
275,2024-10-25 21:58:22.835914,835917
276,2024-10-25 21:58:22.846028,846030
277,2024-10-25 21:58:22.856137,856140
278,2024-10-25 21:58:22.866243,866245
279,2024-10-25 21:58:22.876341,876342
280,2024-10-25 21:58:22.886445,886448
281,2024-10-25 21:58:22.896558,896561
282,2024-10-25 21:58:22.906672,906674
283,2024-10-25 21:58:22.916781,916784
284,2024-10-25 21:58:22.926894,926897
285,2024-10-25 21:58:22.937004,937007
286,2024-10-25 21:58:22.947113,947115
287,2024-10-25 21:58:22.957211,957213
288,2024-10-25 21:58:22.967316,967318
289,2024-10-25 21:58:22.977434,977436
290,2024-10-25 21:58:22.987544,987547
291,2024-10-25 21:58:22.997653,997656
292,2024-10-25 21:58:23.007763,7765
293,2024-10-25 21:58:23.017872,17874
294,2024-10-25 21:58:23.027982,27984
295,2024-10-25 21:58:23.038091,38093
296,2024-10-25 21:58:23.048183,48186
297,2024-10-25 21:58:23.058287,58290
298,2024-10-25 21:58:23.068379,68381
299,2024-10-25 21:58:23.078460,78462
300,2024-10-25 21:58:23.088535,88536
